screenshot_id,source_file,flow_id,screen_family,implementation_phase,matter_route,audit_status,lowres_similarity,changed_pixel_ratio,white_ratio_delta,blue_ratio_delta,brightness_delta,audit_note
92,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 92.png,segmentation-output,Segmentation output and custom events,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9629,0.087,0.2947,0.0335,3.18,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
93,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 93.png,segmentation-output,Segmentation output and custom events,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.963,0.0869,0.2941,0.0336,3.17,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
94,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 94.png,segmentation-output,Segmentation output and custom events,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.951,0.1209,0.0982,0.0318,1.64,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
95,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 95.png,share-save-modals,Share and save modals,P6 matter analytics builder,/?locale=en&view=analytics&modal=share,pixel_baseline_close,0.9375,0.0886,0.0284,0.0016,2.2,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
96,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 96.png,share-save-modals,Share and save modals,P6 matter analytics builder,/?locale=en&view=analytics&modal=shareInvite,pixel_baseline_close,0.939,0.0911,0.0285,0.0004,1.97,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
97,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 97.png,share-save-modals,Share and save modals,P6 matter analytics builder,/?locale=en&view=analytics&variant=shareToast,pixel_baseline_close,0.9571,0.1081,0.1245,0.0318,0.78,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
98,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 98.png,share-save-modals,Share and save modals,P6 matter analytics builder,/?locale=en&view=analytics&modal=shareHistory,pixel_baseline_close,0.958,0.0617,0.0181,0.0016,7.06,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
99,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 99.png,share-save-modals,Share and save modals,P6 matter analytics builder,/?locale=en&view=analytics&modal=saveChartCard,pixel_baseline_close,0.9343,0.1057,0.0314,0.0047,1.3,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
100,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 100.png,share-save-modals,Share and save modals,P6 matter analytics builder,/?locale=en&view=analytics&modal=saveChartSuggest,pixel_baseline_close,0.9368,0.1053,0.0256,0.0011,1.97,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
101,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 101.png,share-save-modals,Share and save modals,P6 matter analytics builder,/?locale=en&view=analytics&modal=saveChartReportDropdown,pixel_baseline_close,0.9429,0.0962,0.0173,0.0009,3.26,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
102,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 102.png,share-save-modals,Share and save modals,P6 matter analytics builder,/?locale=en&view=analytics&modal=saveChartReportSelected,pixel_baseline_close,0.9283,0.1214,0.0395,0.0009,0.51,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
103,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 103.png,chart-page-empty-table,Chart and data table entry,P6 matter analytics builder,/?locale=en&view=analytics&variant=dataTable,pixel_baseline_close,0.9705,0.0769,0.0538,0.0008,2.72,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
104,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 104.png,chart-page-empty-table,Chart and data table entry,P6 matter analytics builder,/?locale=en&view=analytics&variant=dataTable,pixel_baseline_close,0.9773,0.0559,0.0061,0.0135,1.19,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
105,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 105.png,funnel-analysis,Funnel analysis,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.8967,0.2317,0.0315,0.1058,15.7,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
106,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 106.png,funnel-analysis,Funnel analysis,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9255,0.1841,0.0589,0.0402,8.67,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
107,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 107.png,funnel-analysis,Funnel analysis,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9203,0.2061,0.046,0.0577,10.25,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
108,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 108.png,funnel-analysis,Funnel analysis,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9202,0.2065,0.0458,0.0582,10.26,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
109,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 109.png,funnel-analysis,Funnel analysis,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9313,0.2066,0.0552,0.058,7.3,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
110,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 110.png,funnel-analysis,Funnel analysis,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9146,0.2297,0.0412,0.1041,11.1,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
111,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 111.png,funnel-analysis,Funnel analysis,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9214,0.1848,0.0495,0.0532,9.33,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
112,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 112.png,data-table-and-metric,Data table and metric setup,P6 matter analytics builder,/?locale=en&view=analytics&variant=dataTablePicker,pixel_baseline_close,0.9824,0.0397,0.0101,0.0015,0.41,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
113,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 113.png,data-table-and-metric,Data table and metric setup,P6 matter analytics builder,/?locale=en&view=analytics&variant=dataTablePicker,pixel_baseline_close,0.9799,0.0449,0.0269,0.0035,0.44,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
114,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 114.png,data-table-and-metric,Data table and metric setup,P6 matter analytics builder,/?locale=en&view=analytics&variant=dataTablePicker,pixel_baseline_close,0.979,0.047,0.024,0.0048,0.54,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
115,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 115.png,data-table-and-metric,Data table and metric setup,P6 matter analytics builder,/?locale=en&view=analytics&variant=dataTable&modal=metricUntitled,pixel_baseline_close,0.9676,0.033,0.0001,0.0001,6.31,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
116,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 116.png,data-table-and-metric,Data table and metric setup,P6 matter analytics builder,/?locale=en&view=analytics&variant=dataTable&modal=metricNamed,pixel_baseline_close,0.967,0.036,0.0005,0.0001,6.53,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
117,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 117.png,data-table-and-metric,Data table and metric setup,P6 matter analytics builder,/?locale=en&view=analytics&variant=dataTable&modal=metricPicker,pixel_baseline_close,0.9411,0.0913,0.0376,0.0024,0.24,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
118,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 118.png,data-table-and-metric,Data table and metric setup,P6 matter analytics builder,/?locale=en&view=analytics&variant=dataTable&modal=metricPreview,pixel_baseline_close,0.9339,0.1097,0.0508,0.0009,3.56,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
119,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 119.png,data-table-and-metric,Data table and metric setup,P6 matter analytics builder,/?locale=en&view=analytics&variant=dataTablePicker,pixel_baseline_close,0.9771,0.0477,0.0556,0.002,0.57,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
120,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 120.png,data-table-heatmap,Data table heatmap,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9627,0.0811,0.0786,0.0318,1.25,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
121,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 121.png,data-table-heatmap,Data table heatmap,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.964,0.076,0.0955,0.0327,1.77,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
122,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 122.png,data-table-heatmap,Data table heatmap,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9598,0.0956,0.0453,0.0013,0.29,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
123,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 123.png,data-table-heatmap,Data table heatmap,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9611,0.0906,0.0595,0.0148,0.67,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
124,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 124.png,data-table-heatmap,Data table heatmap,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9571,0.0977,0.0507,0.014,0.43,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
125,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 125.png,data-table-heatmap,Data table heatmap,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9619,0.0847,0.2457,0.015,2.8,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
126,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 126.png,data-table-heatmap,Data table heatmap,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9577,0.103,0.1716,0.0077,1.28,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
127,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 127.png,data-table-heatmap,Data table heatmap,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9594,0.09,0.1874,0.0207,1.74,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
128,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 128.png,data-table-heatmap,Data table heatmap,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9615,0.0877,0.2444,0.0214,2.74,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
129,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 129.png,data-table-heatmap,Data table heatmap,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9608,0.0889,0.2438,0.0293,2.55,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
130,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 130.png,data-table-heatmap,Data table heatmap,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9586,0.096,0.2162,0.0274,1.81,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
131,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 131.png,data-table-heatmap,Data table heatmap,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9576,0.0968,0.1986,0.0203,1.5,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
132,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 132.png,data-table-heatmap,Data table heatmap,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9616,0.087,0.2441,0.0143,2.74,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
133,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 133.png,data-table-heatmap,Data table heatmap,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9612,0.0896,0.2402,0.0115,2.65,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
134,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 134.png,data-table-heatmap,Data table heatmap,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9602,0.0999,0.2343,0.0073,2.2,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
135,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 135.png,data-table-heatmap,Data table heatmap,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9612,0.0937,0.2449,0.0138,2.64,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
136,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 136.png,data-table-heatmap,Data table heatmap,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9624,0.0889,0.2574,0.0226,3.08,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
137,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 137.png,retention-and-journeys,Retention and journey builder,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9603,0.101,0.16,0.0299,1.81,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
138,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 138.png,retention-and-journeys,Retention and journey builder,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9081,0.1915,0.1892,0.2914,14.5,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
139,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 139.png,retention-and-journeys,Retention and journey builder,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9526,0.1391,0.2466,0.0315,0.83,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
140,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 140.png,retention-and-journeys,Retention and journey builder,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.8809,0.2707,0.1093,0.0552,18.78,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
141,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 141.png,retention-and-journeys,Retention and journey builder,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9528,0.1361,0.2377,0.0335,0.68,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
142,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 142.png,retention-and-journeys,Retention and journey builder,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9534,0.1331,0.2397,0.0301,0.75,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
143,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 143.png,retention-and-journeys,Retention and journey builder,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9559,0.1195,0.2556,0.0299,1.51,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
144,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 144.png,retention-and-journeys,Retention and journey builder,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9597,0.0974,0.3173,0.033,3.41,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
145,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 145.png,retention-and-journeys,Retention and journey builder,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9523,0.1354,0.2411,0.033,0.68,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
146,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 146.png,retention-and-journeys,Retention and journey builder,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9575,0.1086,0.3048,0.0316,2.78,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
147,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 147.png,retention-and-journeys,Retention and journey builder,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9584,0.1034,0.3091,0.0323,3.05,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
148,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 148.png,dashboard-create,Dashboard builder,"P7 dashboards, notebooks, reports",/?locale=ko&view=dashboards,pixel_baseline_close,0.9446,0.1094,0.3397,0.0043,4.54,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
149,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 149.png,dashboard-create,Dashboard builder,"P7 dashboards, notebooks, reports",/?locale=ko&view=dashboards,pixel_baseline_close,0.9457,0.1244,0.1027,0.0084,0.97,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
150,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 150.png,dashboard-create,Dashboard builder,"P7 dashboards, notebooks, reports",/?locale=ko&view=dashboards,pixel_baseline_close,0.946,0.1234,0.1023,0.0064,0.9,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
151,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 151.png,dashboard-create,Dashboard builder,"P7 dashboards, notebooks, reports",/?locale=ko&view=dashboards,pixel_baseline_close,0.946,0.1223,0.1026,0.0062,0.91,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
152,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 152.png,dashboard-create,Dashboard builder,"P7 dashboards, notebooks, reports",/?locale=ko&view=dashboards,pixel_baseline_close,0.9549,0.08,0.2475,0.0137,0.04,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
153,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 153.png,dashboard-create,Dashboard builder,"P7 dashboards, notebooks, reports",/?locale=ko&view=dashboards,pixel_baseline_close,0.9581,0.0732,0.224,0.0138,1.15,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
154,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 154.png,dashboard-create,Dashboard builder,"P7 dashboards, notebooks, reports",/?locale=ko&view=dashboards,pixel_baseline_close,0.9478,0.096,0.2615,0.0189,5.14,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
155,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 155.png,dashboard-create,Dashboard builder,"P7 dashboards, notebooks, reports",/?locale=ko&view=dashboards,pixel_baseline_close,0.9471,0.0972,0.2302,0.0174,4.67,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
156,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 156.png,dashboard-chart-report,Dashboard chart/report states,"P7 dashboards, notebooks, reports",/?locale=ko&view=dashboards,pixel_baseline_close,0.948,0.0843,0.3531,0.0133,6.27,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
157,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 157.png,dashboard-chart-report,Dashboard chart/report states,"P7 dashboards, notebooks, reports",/?locale=en&view=dashboards&modal=generateChart,pixel_baseline_close,0.9348,0.0976,0.0209,0.0035,3.3,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
158,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 158.png,dashboard-chart-report,Dashboard chart/report states,"P7 dashboards, notebooks, reports",/?locale=en&view=dashboards&modal=generateChart,pixel_baseline_close,0.9343,0.1005,0.0264,0.0012,3.51,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
159,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 159.png,dashboard-chart-report,Dashboard chart/report states,"P7 dashboards, notebooks, reports",/?locale=ko&view=dashboards,pixel_baseline_close,0.9229,0.1559,0.1309,0.0194,5,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
160,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 160.png,dashboard-chart-report,Dashboard chart/report states,"P7 dashboards, notebooks, reports",/?locale=en&view=dashboards&modal=dashboardSubscribe,pixel_baseline_close,0.9616,0.0539,0.0037,0.0008,4.59,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
161,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 161.png,dashboard-chart-report,Dashboard chart/report states,"P7 dashboards, notebooks, reports",/?locale=en&view=dashboards&modal=dashboardSubscribeSuccess,pixel_baseline_close,0.9573,0.079,0.0058,0.0001,4.53,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
162,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 162.png,dashboard-templates,Dashboard templates and funnel dashboard,"P7 dashboards, notebooks, reports",/?locale=en&view=dashboards&variant=template,pixel_baseline_close,0.9337,0.1985,0.501,0.0588,12.98,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
163,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 163.png,dashboard-templates,Dashboard templates and funnel dashboard,"P7 dashboards, notebooks, reports",/?locale=en&view=dashboards&variant=template,pixel_baseline_close,0.9559,0.103,0.3443,0.0115,6.41,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
164,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 164.png,dashboard-templates,Dashboard templates and funnel dashboard,"P7 dashboards, notebooks, reports",/?locale=en&view=dashboards&variant=template,pixel_baseline_close,0.9231,0.1932,0.3041,0.0936,14.68,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
165,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 165.png,dashboard-templates,Dashboard templates and funnel dashboard,"P7 dashboards, notebooks, reports",/?locale=en&view=dashboards&variant=template,pixel_baseline_close,0.9493,0.1134,0.1582,0.0337,7.52,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
166,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 166.png,dashboard-templates,Dashboard templates and funnel dashboard,"P7 dashboards, notebooks, reports",/?locale=en&view=dashboards&variant=template&modal=createDashboard,pixel_baseline_close,0.8933,0.1997,0.066,0.0006,3.23,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
167,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 167.png,dashboard-templates,Dashboard templates and funnel dashboard,"P7 dashboards, notebooks, reports",/?locale=en&view=dashboards&variant=template,pixel_baseline_close,0.9112,0.222,0.254,0.1326,17.47,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
168,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 168.png,notebooks,Notebook/report surface,"P7 dashboards, notebooks, reports",/?locale=ko&view=dashboards,pixel_baseline_close,0.9617,0.0633,0.2497,0.0144,1.36,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
169,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 169.png,notebooks,Notebook/report surface,"P7 dashboards, notebooks, reports",/?locale=ko&view=dashboards,pixel_baseline_close,0.9584,0.0724,0.1974,0.0163,1.87,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
170,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 170.png,notebooks,Notebook/report surface,"P7 dashboards, notebooks, reports",/?locale=ko&view=dashboards,pixel_baseline_close,0.9572,0.0777,0.1748,0.0162,1.78,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
171,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 171.png,notebooks,Notebook/report surface,"P7 dashboards, notebooks, reports",/?locale=ko&view=dashboards,pixel_baseline_close,0.873,0.3204,0.0473,0.0738,26.59,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
172,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 172.png,notebooks,Notebook/report surface,"P7 dashboards, notebooks, reports",/?locale=ko&view=dashboards,pixel_baseline_close,0.9044,0.2291,0.1177,0.0264,7.96,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
173,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 173.png,notebooks,Notebook/report surface,"P7 dashboards, notebooks, reports",/?locale=ko&view=dashboards,pixel_baseline_close,0.9419,0.1076,0.1247,0.027,1.52,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
174,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 174.png,notebooks,Notebook/report surface,"P7 dashboards, notebooks, reports",/?locale=ko&view=dashboards,pixel_baseline_close,0.9411,0.1098,0.1207,0.0268,1.31,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
175,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 175.png,notebooks,Notebook/report surface,"P7 dashboards, notebooks, reports",/?locale=ko&view=dashboards,pixel_baseline_close,0.9394,0.1164,0.1723,0.0244,1.77,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
176,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 176.png,all-content-initial,All content list,"P4 spaces, all content, search, resource surfaces",/?locale=ko&view=content,pixel_baseline_close,0.9651,0.0815,0.0645,0.0097,3.41,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
177,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 177.png,all-content-initial,All content list,"P4 spaces, all content, search, resource surfaces",/?locale=ko&view=content,pixel_baseline_close,0.9653,0.087,0.1781,0.0103,4.65,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
178,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 178.png,all-content-initial,All content list,"P4 spaces, all content, search, resource surfaces",/?locale=ko&view=content,pixel_baseline_close,0.9737,0.055,0.1584,0.0043,2.35,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
179,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 179.png,live-events,Live events,"P5 matter profiles, event stream, raw evidence",/?locale=ko&view=profiles,pixel_baseline_close,0.9617,0.0882,0.1327,0.0135,1.37,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
180,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 180.png,analysis-card-guidance,Guidance cards,"P8 Ask matter, cohorts, replay, experiments, flags",/?locale=ko&view=ask,pixel_baseline_close,0.9611,0.0718,0.2426,0.1024,5.12,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
181,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 181.png,analysis-card-guidance,Guidance cards,"P8 Ask matter, cohorts, replay, experiments, flags",/?locale=ko&view=ask,pixel_baseline_close,0.9601,0.0735,0.2426,0.1065,5.37,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
