screenshot_id,file,flow_id,screen_family,screen_type,ui_elements,matter_destination,implementation_phase,coverage_status,coverage_rule
"82","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 82.png","segmentation-output","Segmentation output and custom events","resulting chart views, custom event sidecar, export, success toast, empty/recommendation states","line chart result; table result; side panel; success toast; recommendation drawer; custom event panel","analytics result review and event definition sidecar","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"83","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 83.png","segmentation-output","Segmentation output and custom events","resulting chart views, custom event sidecar, export, success toast, empty/recommendation states","line chart result; table result; side panel; success toast; recommendation drawer; custom event panel","analytics result review and event definition sidecar","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"84","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 84.png","segmentation-output","Segmentation output and custom events","resulting chart views, custom event sidecar, export, success toast, empty/recommendation states","line chart result; table result; side panel; success toast; recommendation drawer; custom event panel","analytics result review and event definition sidecar","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"85","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 85.png","segmentation-output","Segmentation output and custom events","resulting chart views, custom event sidecar, export, success toast, empty/recommendation states","line chart result; table result; side panel; success toast; recommendation drawer; custom event panel","analytics result review and event definition sidecar","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"86","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 86.png","segmentation-output","Segmentation output and custom events","resulting chart views, custom event sidecar, export, success toast, empty/recommendation states","line chart result; table result; side panel; success toast; recommendation drawer; custom event panel","analytics result review and event definition sidecar","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"87","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 87.png","segmentation-output","Segmentation output and custom events","resulting chart views, custom event sidecar, export, success toast, empty/recommendation states","line chart result; table result; side panel; success toast; recommendation drawer; custom event panel","analytics result review and event definition sidecar","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"88","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 88.png","segmentation-output","Segmentation output and custom events","resulting chart views, custom event sidecar, export, success toast, empty/recommendation states","line chart result; table result; side panel; success toast; recommendation drawer; custom event panel","analytics result review and event definition sidecar","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"89","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 89.png","segmentation-output","Segmentation output and custom events","resulting chart views, custom event sidecar, export, success toast, empty/recommendation states","line chart result; table result; side panel; success toast; recommendation drawer; custom event panel","analytics result review and event definition sidecar","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"90","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 90.png","segmentation-output","Segmentation output and custom events","resulting chart views, custom event sidecar, export, success toast, empty/recommendation states","line chart result; table result; side panel; success toast; recommendation drawer; custom event panel","analytics result review and event definition sidecar","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"91","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 91.png","segmentation-output","Segmentation output and custom events","resulting chart views, custom event sidecar, export, success toast, empty/recommendation states","line chart result; table result; side panel; success toast; recommendation drawer; custom event panel","analytics result review and event definition sidecar","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"92","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 92.png","segmentation-output","Segmentation output and custom events","resulting chart views, custom event sidecar, export, success toast, empty/recommendation states","line chart result; table result; side panel; success toast; recommendation drawer; custom event panel","analytics result review and event definition sidecar","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"93","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 93.png","segmentation-output","Segmentation output and custom events","resulting chart views, custom event sidecar, export, success toast, empty/recommendation states","line chart result; table result; side panel; success toast; recommendation drawer; custom event panel","analytics result review and event definition sidecar","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"94","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 94.png","segmentation-output","Segmentation output and custom events","resulting chart views, custom event sidecar, export, success toast, empty/recommendation states","line chart result; table result; side panel; success toast; recommendation drawer; custom event panel","analytics result review and event definition sidecar","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"95","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 95.png","share-save-modals","Share and save modals","share, embed, folder/location, save chart, save validation and invite-style modal variants","share modal; save modal; embed options; folder picker; validation helper","share/save matter analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"96","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 96.png","share-save-modals","Share and save modals","share, embed, folder/location, save chart, save validation and invite-style modal variants","share modal; save modal; embed options; folder picker; validation helper","share/save matter analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"97","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 97.png","share-save-modals","Share and save modals","share, embed, folder/location, save chart, save validation and invite-style modal variants","share modal; save modal; embed options; folder picker; validation helper","share/save matter analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"98","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 98.png","share-save-modals","Share and save modals","share, embed, folder/location, save chart, save validation and invite-style modal variants","share modal; save modal; embed options; folder picker; validation helper","share/save matter analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"99","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 99.png","share-save-modals","Share and save modals","share, embed, folder/location, save chart, save validation and invite-style modal variants","share modal; save modal; embed options; folder picker; validation helper","share/save matter analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"100","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 100.png","share-save-modals","Share and save modals","share, embed, folder/location, save chart, save validation and invite-style modal variants","share modal; save modal; embed options; folder picker; validation helper","share/save matter analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"101","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 101.png","share-save-modals","Share and save modals","share, embed, folder/location, save chart, save validation and invite-style modal variants","share modal; save modal; embed options; folder picker; validation helper","share/save matter analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"102","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 102.png","share-save-modals","Share and save modals","share, embed, folder/location, save chart, save validation and invite-style modal variants","share modal; save modal; embed options; folder picker; validation helper","share/save matter analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"103","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 103.png","chart-page-empty-table","Chart and data table entry","standalone chart page and empty data table analysis state","standalone chart canvas; empty-state illustration; analysis builder","saved chart route and data table empty state","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"104","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 104.png","chart-page-empty-table","Chart and data table entry","standalone chart page and empty data table analysis state","standalone chart canvas; empty-state illustration; analysis builder","saved chart route and data table empty state","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"105","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 105.png","funnel-analysis","Funnel analysis","funnel builder and output states with conversion bars, step selection, breakdown and tooltips","funnel step builder; conversion bars; step table; tooltip; breakdown controls","matter workflow funnel analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"106","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 106.png","funnel-analysis","Funnel analysis","funnel builder and output states with conversion bars, step selection, breakdown and tooltips","funnel step builder; conversion bars; step table; tooltip; breakdown controls","matter workflow funnel analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"107","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 107.png","funnel-analysis","Funnel analysis","funnel builder and output states with conversion bars, step selection, breakdown and tooltips","funnel step builder; conversion bars; step table; tooltip; breakdown controls","matter workflow funnel analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"108","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 108.png","funnel-analysis","Funnel analysis","funnel builder and output states with conversion bars, step selection, breakdown and tooltips","funnel step builder; conversion bars; step table; tooltip; breakdown controls","matter workflow funnel analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"109","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 109.png","funnel-analysis","Funnel analysis","funnel builder and output states with conversion bars, step selection, breakdown and tooltips","funnel step builder; conversion bars; step table; tooltip; breakdown controls","matter workflow funnel analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"110","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 110.png","funnel-analysis","Funnel analysis","funnel builder and output states with conversion bars, step selection, breakdown and tooltips","funnel step builder; conversion bars; step table; tooltip; breakdown controls","matter workflow funnel analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"111","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 111.png","funnel-analysis","Funnel analysis","funnel builder and output states with conversion bars, step selection, breakdown and tooltips","funnel step builder; conversion bars; step table; tooltip; breakdown controls","matter workflow funnel analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"112","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 112.png","data-table-and-metric","Data table and metric setup","data table empty/source states, create metric modal, metric chart and dimension builder","data source selector; empty state; metric modal; field dropdown; metric bar chart","matter data table and KPI builder","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"113","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 113.png","data-table-and-metric","Data table and metric setup","data table empty/source states, create metric modal, metric chart and dimension builder","data source selector; empty state; metric modal; field dropdown; metric bar chart","matter data table and KPI builder","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"114","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 114.png","data-table-and-metric","Data table and metric setup","data table empty/source states, create metric modal, metric chart and dimension builder","data source selector; empty state; metric modal; field dropdown; metric bar chart","matter data table and KPI builder","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"115","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 115.png","data-table-and-metric","Data table and metric setup","data table empty/source states, create metric modal, metric chart and dimension builder","data source selector; empty state; metric modal; field dropdown; metric bar chart","matter data table and KPI builder","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"116","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 116.png","data-table-and-metric","Data table and metric setup","data table empty/source states, create metric modal, metric chart and dimension builder","data source selector; empty state; metric modal; field dropdown; metric bar chart","matter data table and KPI builder","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"117","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 117.png","data-table-and-metric","Data table and metric setup","data table empty/source states, create metric modal, metric chart and dimension builder","data source selector; empty state; metric modal; field dropdown; metric bar chart","matter data table and KPI builder","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"118","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 118.png","data-table-and-metric","Data table and metric setup","data table empty/source states, create metric modal, metric chart and dimension builder","data source selector; empty state; metric modal; field dropdown; metric bar chart","matter data table and KPI builder","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"119","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 119.png","data-table-and-metric","Data table and metric setup","data table empty/source states, create metric modal, metric chart and dimension builder","data source selector; empty state; metric modal; field dropdown; metric bar chart","matter data table and KPI builder","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"120","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 120.png","data-table-heatmap","Data table heatmap","intersection-by-country pivot/heatmap states with nested dropdowns and property filters","pivot table; heatmap cells; property selector; nested dropdown; table toolbar","matter dimension table and heatmap analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"121","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 121.png","data-table-heatmap","Data table heatmap","intersection-by-country pivot/heatmap states with nested dropdowns and property filters","pivot table; heatmap cells; property selector; nested dropdown; table toolbar","matter dimension table and heatmap analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"122","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 122.png","data-table-heatmap","Data table heatmap","intersection-by-country pivot/heatmap states with nested dropdowns and property filters","pivot table; heatmap cells; property selector; nested dropdown; table toolbar","matter dimension table and heatmap analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"123","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 123.png","data-table-heatmap","Data table heatmap","intersection-by-country pivot/heatmap states with nested dropdowns and property filters","pivot table; heatmap cells; property selector; nested dropdown; table toolbar","matter dimension table and heatmap analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"124","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 124.png","data-table-heatmap","Data table heatmap","intersection-by-country pivot/heatmap states with nested dropdowns and property filters","pivot table; heatmap cells; property selector; nested dropdown; table toolbar","matter dimension table and heatmap analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"125","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 125.png","data-table-heatmap","Data table heatmap","intersection-by-country pivot/heatmap states with nested dropdowns and property filters","pivot table; heatmap cells; property selector; nested dropdown; table toolbar","matter dimension table and heatmap analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"126","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 126.png","data-table-heatmap","Data table heatmap","intersection-by-country pivot/heatmap states with nested dropdowns and property filters","pivot table; heatmap cells; property selector; nested dropdown; table toolbar","matter dimension table and heatmap analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"127","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 127.png","data-table-heatmap","Data table heatmap","intersection-by-country pivot/heatmap states with nested dropdowns and property filters","pivot table; heatmap cells; property selector; nested dropdown; table toolbar","matter dimension table and heatmap analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"128","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 128.png","data-table-heatmap","Data table heatmap","intersection-by-country pivot/heatmap states with nested dropdowns and property filters","pivot table; heatmap cells; property selector; nested dropdown; table toolbar","matter dimension table and heatmap analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"129","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 129.png","data-table-heatmap","Data table heatmap","intersection-by-country pivot/heatmap states with nested dropdowns and property filters","pivot table; heatmap cells; property selector; nested dropdown; table toolbar","matter dimension table and heatmap analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"130","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 130.png","data-table-heatmap","Data table heatmap","intersection-by-country pivot/heatmap states with nested dropdowns and property filters","pivot table; heatmap cells; property selector; nested dropdown; table toolbar","matter dimension table and heatmap analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"131","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 131.png","data-table-heatmap","Data table heatmap","intersection-by-country pivot/heatmap states with nested dropdowns and property filters","pivot table; heatmap cells; property selector; nested dropdown; table toolbar","matter dimension table and heatmap analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"132","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 132.png","data-table-heatmap","Data table heatmap","intersection-by-country pivot/heatmap states with nested dropdowns and property filters","pivot table; heatmap cells; property selector; nested dropdown; table toolbar","matter dimension table and heatmap analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"133","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 133.png","data-table-heatmap","Data table heatmap","intersection-by-country pivot/heatmap states with nested dropdowns and property filters","pivot table; heatmap cells; property selector; nested dropdown; table toolbar","matter dimension table and heatmap analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"134","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 134.png","data-table-heatmap","Data table heatmap","intersection-by-country pivot/heatmap states with nested dropdowns and property filters","pivot table; heatmap cells; property selector; nested dropdown; table toolbar","matter dimension table and heatmap analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"135","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 135.png","data-table-heatmap","Data table heatmap","intersection-by-country pivot/heatmap states with nested dropdowns and property filters","pivot table; heatmap cells; property selector; nested dropdown; table toolbar","matter dimension table and heatmap analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"136","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 136.png","data-table-heatmap","Data table heatmap","intersection-by-country pivot/heatmap states with nested dropdowns and property filters","pivot table; heatmap cells; property selector; nested dropdown; table toolbar","matter dimension table and heatmap analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"137","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 137.png","retention-and-journeys","Retention and journey builder","retention empty/result states and journey/onboarding path visualizations with node/branch controls","retention empty state; retention grid; journey Sankey; path diagram; branch popover; step menu","retention of clients/matters and legal workflow journey analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"138","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 138.png","retention-and-journeys","Retention and journey builder","retention empty/result states and journey/onboarding path visualizations with node/branch controls","retention empty state; retention grid; journey Sankey; path diagram; branch popover; step menu","retention of clients/matters and legal workflow journey analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"139","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 139.png","retention-and-journeys","Retention and journey builder","retention empty/result states and journey/onboarding path visualizations with node/branch controls","retention empty state; retention grid; journey Sankey; path diagram; branch popover; step menu","retention of clients/matters and legal workflow journey analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"140","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 140.png","retention-and-journeys","Retention and journey builder","retention empty/result states and journey/onboarding path visualizations with node/branch controls","retention empty state; retention grid; journey Sankey; path diagram; branch popover; step menu","retention of clients/matters and legal workflow journey analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"141","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 141.png","retention-and-journeys","Retention and journey builder","retention empty/result states and journey/onboarding path visualizations with node/branch controls","retention empty state; retention grid; journey Sankey; path diagram; branch popover; step menu","retention of clients/matters and legal workflow journey analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"142","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 142.png","retention-and-journeys","Retention and journey builder","retention empty/result states and journey/onboarding path visualizations with node/branch controls","retention empty state; retention grid; journey Sankey; path diagram; branch popover; step menu","retention of clients/matters and legal workflow journey analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"143","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 143.png","retention-and-journeys","Retention and journey builder","retention empty/result states and journey/onboarding path visualizations with node/branch controls","retention empty state; retention grid; journey Sankey; path diagram; branch popover; step menu","retention of clients/matters and legal workflow journey analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"144","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 144.png","retention-and-journeys","Retention and journey builder","retention empty/result states and journey/onboarding path visualizations with node/branch controls","retention empty state; retention grid; journey Sankey; path diagram; branch popover; step menu","retention of clients/matters and legal workflow journey analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"145","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 145.png","retention-and-journeys","Retention and journey builder","retention empty/result states and journey/onboarding path visualizations with node/branch controls","retention empty state; retention grid; journey Sankey; path diagram; branch popover; step menu","retention of clients/matters and legal workflow journey analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"146","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 146.png","retention-and-journeys","Retention and journey builder","retention empty/result states and journey/onboarding path visualizations with node/branch controls","retention empty state; retention grid; journey Sankey; path diagram; branch popover; step menu","retention of clients/matters and legal workflow journey analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"147","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 147.png","retention-and-journeys","Retention and journey builder","retention empty/result states and journey/onboarding path visualizations with node/branch controls","retention empty state; retention grid; journey Sankey; path diagram; branch popover; step menu","retention of clients/matters and legal workflow journey analysis","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"148","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 148.png","dashboard-create","Dashboard builder","create menu, empty dashboard, template cards, add charts/cohorts side panel","create menu; empty dashboard; template gallery; right configuration panel; checkbox list","matter dashboard builder","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"149","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 149.png","dashboard-create","Dashboard builder","create menu, empty dashboard, template cards, add charts/cohorts side panel","create menu; empty dashboard; template gallery; right configuration panel; checkbox list","matter dashboard builder","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"150","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 150.png","dashboard-create","Dashboard builder","create menu, empty dashboard, template cards, add charts/cohorts side panel","create menu; empty dashboard; template gallery; right configuration panel; checkbox list","matter dashboard builder","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"151","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 151.png","dashboard-create","Dashboard builder","create menu, empty dashboard, template cards, add charts/cohorts side panel","create menu; empty dashboard; template gallery; right configuration panel; checkbox list","matter dashboard builder","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"152","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 152.png","dashboard-create","Dashboard builder","create menu, empty dashboard, template cards, add charts/cohorts side panel","create menu; empty dashboard; template gallery; right configuration panel; checkbox list","matter dashboard builder","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"153","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 153.png","dashboard-create","Dashboard builder","create menu, empty dashboard, template cards, add charts/cohorts side panel","create menu; empty dashboard; template gallery; right configuration panel; checkbox list","matter dashboard builder","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"154","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 154.png","dashboard-create","Dashboard builder","create menu, empty dashboard, template cards, add charts/cohorts side panel","create menu; empty dashboard; template gallery; right configuration panel; checkbox list","matter dashboard builder","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"155","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 155.png","dashboard-create","Dashboard builder","create menu, empty dashboard, template cards, add charts/cohorts side panel","create menu; empty dashboard; template gallery; right configuration panel; checkbox list","matter dashboard builder","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"156","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 156.png","dashboard-chart-report","Dashboard chart/report states","chart card, conversion modal, export/save-to-dashboard/report modals","dashboard chart card; modal overlay; report destination selector; dashboard destination selector","dashboard/report publishing","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"157","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 157.png","dashboard-chart-report","Dashboard chart/report states","chart card, conversion modal, export/save-to-dashboard/report modals","dashboard chart card; modal overlay; report destination selector; dashboard destination selector","dashboard/report publishing","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"158","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 158.png","dashboard-chart-report","Dashboard chart/report states","chart card, conversion modal, export/save-to-dashboard/report modals","dashboard chart card; modal overlay; report destination selector; dashboard destination selector","dashboard/report publishing","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"159","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 159.png","dashboard-chart-report","Dashboard chart/report states","chart card, conversion modal, export/save-to-dashboard/report modals","dashboard chart card; modal overlay; report destination selector; dashboard destination selector","dashboard/report publishing","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"160","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 160.png","dashboard-chart-report","Dashboard chart/report states","chart card, conversion modal, export/save-to-dashboard/report modals","dashboard chart card; modal overlay; report destination selector; dashboard destination selector","dashboard/report publishing","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"161","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 161.png","dashboard-chart-report","Dashboard chart/report states","chart card, conversion modal, export/save-to-dashboard/report modals","dashboard chart card; modal overlay; report destination selector; dashboard destination selector","dashboard/report publishing","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"162","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 162.png","dashboard-templates","Dashboard templates and funnel dashboard","dashboard template gallery and multi-card funnel dashboard/report layout","template grid; dashboard section layout; chart cards; text cards; progress bars","dashboard templates for legal operations","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"163","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 163.png","dashboard-templates","Dashboard templates and funnel dashboard","dashboard template gallery and multi-card funnel dashboard/report layout","template grid; dashboard section layout; chart cards; text cards; progress bars","dashboard templates for legal operations","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"164","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 164.png","dashboard-templates","Dashboard templates and funnel dashboard","dashboard template gallery and multi-card funnel dashboard/report layout","template grid; dashboard section layout; chart cards; text cards; progress bars","dashboard templates for legal operations","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"165","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 165.png","dashboard-templates","Dashboard templates and funnel dashboard","dashboard template gallery and multi-card funnel dashboard/report layout","template grid; dashboard section layout; chart cards; text cards; progress bars","dashboard templates for legal operations","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"166","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 166.png","dashboard-templates","Dashboard templates and funnel dashboard","dashboard template gallery and multi-card funnel dashboard/report layout","template grid; dashboard section layout; chart cards; text cards; progress bars","dashboard templates for legal operations","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
"167","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 167.png","dashboard-templates","Dashboard templates and funnel dashboard","dashboard template gallery and multi-card funnel dashboard/report layout","template grid; dashboard section layout; chart cards; text cards; progress bars","dashboard templates for legal operations","P7 dashboards, notebooks, reports","planned","must be implemented or componentized; do not ignore"
