ID,Layer,Epic,Task,Severity,Current status,Target files,Acceptance criteria,Tests/commands,Dependencies,PR sequence,Risk if skipped
HRX-L7-016,L7,Enterprise Hardening,Enterprise hardening validator,P0,Partial/not started,scripts/validate-hrx-enterprise-readiness.mjs,all P0 gates required,npm run hrx:enterprise:validate; npm test,L1-L6,PR-13/14,enterprise-ready claim invalid
HRX-L8-001,L8,Release & Go/No-Go,Release readiness contract,P0,Not started,contracts/hrx-release-readiness.json,all gates listed,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,enterprise-ready claim invalid
HRX-L8-002,L8,Release & Go/No-Go,Cutover runbook,P0,Not started,docs/hrx-enterprise/cutover-runbook.md,rollback/owner/decision points,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,enterprise-ready claim invalid
HRX-L8-003,L8,Release & Go/No-Go,Go/no-go checklist,P0,Not started,docs/hrx-enterprise/go-live-checklist.md,P0 gate pass + owner approval required,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,enterprise-ready claim invalid
HRX-L8-004,L8,Release & Go/No-Go,Owner decision template,P1,Not started,docs/hrx-enterprise/owner-decision-template.md,human approval separated from validator,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,scope drift / weak runtime maturity
HRX-L8-005,L8,Release & Go/No-Go,R4 claim validator,P0,Not started,scripts/validate-hrx-r4-claim.mjs,forbidden claim fails,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,enterprise-ready claim invalid
HRX-L8-006,L8,Release & Go/No-Go,Production readiness evidence pack,P1,Not started,docs/hrx-enterprise/production-readiness-evidence.md,links to test/backup/UAT/audit reports,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,scope drift / weak runtime maturity
HRX-L8-007,L8,Release & Go/No-Go,Release notes template,P1,Not started,docs/hrx-enterprise/release-notes-template.md,known limitations explicitly listed,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,scope drift / weak runtime maturity
HRX-L8-008,L8,Release & Go/No-Go,Post-release monitoring plan,P1,Not started,docs/hrx-enterprise/post-release-monitoring.md,alerts/metrics/on-call,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,scope drift / weak runtime maturity
HRX-L8-009,L8,Release & Go/No-Go,Final launch blocker audit,P0,Not started,scripts/validate-hrx-launch-blockers.mjs,open P0 fails,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,enterprise-ready claim invalid
HRX-L8-010,L8,Release & Go/No-Go,Handoff closeout,P1,Not started,docs/hrx-enterprise/dev-handoff-closeout.md,developer/QA/owner signatures,npm run hrx:release:validate; npm run hrx:enterprise:validate,L1-L7,PR-15,scope drift / weak runtime maturity
